lsoa_code,pop,econ_score,infrastructure_score,health_score,percent_working,percent_child,percent_old
E01000265,1905,0.2385,20.2956666666667,-0.321,0.655643044619423,0.202099737532808,0.19002624671916
E01000266,1454,0.054,10.229,-1.327,0.610041265474553,0.178129298486933,0.290921595598349
E01000267,1501,0.11,21.63,-1.11,0.633577614923384,0.186542305129913,0.237175216522318
E01000268,2034,0.277,23.7183333333333,-0.419,0.659783677482793,0.210914454277286,0.166175024582104
E01000269,1359,0.109,22.9016666666667,-1.024,0.632818248712288,0.169977924944812,0.27888153053716
E01000270,1497,0.134,18.1943333333333,-0.977,0.604542418169673,0.191716766867067,0.254509018036072
E01000271,1636,0.092,14.9603333333333,-1.448,0.59718826405868,0.175427872860636,0.29278728606357
E01000272,1391,0.0715,9.323,-1.398,0.547088425593098,0.190510424155284,0.326383896477354
E01000273,1670,0.214,20.1043333333333,-0.569,0.610179640718563,0.167664670658683,0.282634730538922
E01000274,1919,0.196,22.349,-0.575,0.632100052110474,0.215216258467952,0.176133402813966
E01000275,1765,0.1255,11.999,-0.996,0.595467422096317,0.169405099150142,0.28385269121813
E01000276,1486,0.0375,6.042,-1.916,0.556527590847914,0.250336473755047,0.242261103633917
E01000277,1702,0.2065,17.0816666666667,-0.414,0.664512338425382,0.158636897767333,0.215041128084606
E01000278,1486,0.0495,9.50033333333333,-1.965,0.559892328398385,0.246971736204576,0.224091520861373
E01000279,1386,0.0355,14.9246666666667,-2.244,0.571428571428571,0.152958152958153,0.352813852813853
E01000280,1360,0.0425,9.98933333333333,-1.907,0.558088235294118,0.175735294117647,0.341911764705882
E01000281,1996,0.159,14.3126666666667,-0.827,0.649799599198397,0.236973947895792,0.134769539078156
E01000282,1743,0.0975,16.81,-1.341,0.628227194492255,0.208261617900172,0.228915662650602
E01000283,1352,0.046,6.26666666666667,-1.814,0.56508875739645,0.203402366863905,0.311390532544379
E01000284,1907,0.1945,21.239,-0.636,0.671211326691138,0.189826953329837,0.179339276350288
E01000285,1489,0.1645,13.5826666666667,-0.588,0.596373404969778,0.19543317662861,0.259905977165883
E01000286,1749,0.236,21.2236666666667,-0.376,0.619210977701544,0.210405946255003,0.216123499142367
E01000287,1635,0.2265,21.244,0.131,0.625076452599388,0.197553516819572,0.213455657492355
E01000288,1529,0.132,21.6306666666667,-0.604,0.620667102681491,0.200130804447351,0.232831916285154
E01000289,1560,0.3565,26.8256666666667,-0.062,0.648717948717949,0.202564102564103,0.183974358974359
E01000290,1542,0.1735,19.9726666666667,-0.151,0.59597924773022,0.158884565499351,0.321011673151751
E01000291,1527,0.197,17.5283333333333,-0.051,0.666666666666667,0.196463654223969,0.174197773411919
E01000292,1555,0.1165,16.4356666666667,-0.874,0.570418006430868,0.185852090032154,0.311254019292604
E01000293,1778,0.0865,20.5976666666667,-1.825,0.616422947131609,0.175478065241845,0.264904386951631
E01000294,1765,0.149,18.1783333333333,-0.121,0.577903682719547,0.18300283286119,0.277053824362606
E01000295,1598,0.1045,21.2393333333333,-1.111,0.667083854818523,0.178973717146433,0.214643304130163
E01000296,1814,0.1605,24.2896666666667,-0.771,0.691289966923925,0.186879823594267,0.160418963616318
E01000297,1445,0.158,24.991,-1.009,0.662283737024221,0.201384083044983,0.191003460207612
E01000298,1750,0.1695,23.6303333333333,-0.975,0.693714285714286,0.175428571428571,0.170857142857143
E01000299,2187,0.2055,26.8903333333333,-0.585,0.671239140374943,0.198445358939186,0.164151806127115
E01000300,1641,0.136,18.2276666666667,-0.816,0.641072516758074,0.209628275441804,0.206581352833638
